"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_01"
"Abalistes stellatus","Abalistes stellatus",2407216,FALSE,4072,1266
"Abudefduf abdominalis","Abudefduf abdominalis",2398692,FALSE,776,139
"Abudefduf bengalensis","Abudefduf bengalensis",2398657,FALSE,1110,344
"Abudefduf concolor","Abudefduf concolor",2398689,FALSE,146,60
"Abudefduf conformis","Abudefduf conformis",2398622,FALSE,12,10
"Abudefduf notatus","Abudefduf notatus",2398703,FALSE,91,53
"Abudefduf saxatilis","Abudefduf saxatilis",2398623,FALSE,7356,718
"Abudefduf septemfasciatus","Abudefduf septemfasciatus",2398628,FALSE,377,185
"Abudefduf sexfasciatus","Abudefduf sexfasciatus",2398669,FALSE,2146,674
"Abudefduf sordidus","Abudefduf sordidus",2398682,FALSE,1173,382
"Abudefduf sparoides","Abudefduf sparoides",2398625,FALSE,100,40
"Abudefduf troschelii","Abudefduf troschelii",2398672,FALSE,1128,276
"Abudefduf vaigiensis","Abudefduf vaigiensis",2398634,FALSE,2657,959
"Abudefduf whitleyi","Abudefduf whitleyi",2398633,FALSE,358,97
"Acanthaluteres brownii","Acanthaluteres brownii",2406699,FALSE,246,77
"Acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus",2406696,FALSE,470,107
"Acanthaluteres vittiger","Acanthaluteres vittiger",2406702,FALSE,1691,312
"Acanthemblemaria atrata","Acanthemblemaria atrata",2381373,FALSE,8,4
"Acanthemblemaria castroi","Acanthemblemaria castroi",2381381,FALSE,12,11
"Acanthemblemaria crockeri","Acanthemblemaria crockeri",2381377,FALSE,23,20
"Acanthemblemaria hancocki","Acanthemblemaria hancocki",2381370,FALSE,35,24
"Acanthemblemaria spinosa","Acanthemblemaria spinosa",2381382,FALSE,231,90
"Acanthemblemaria stephensi","Acanthemblemaria stephensi",2381388,FALSE,1,1
"Acanthistius cinctus","Acanthistius cinctus",2388070,FALSE,137,24
"Acanthistius ocellatus","Acanthistius ocellatus",2388075,FALSE,792,132
"Acanthistius pardalotus","Acanthistius pardalotus",2388082,FALSE,10,6
"Acanthistius patachonicus","Acanthistius patachonicus",2388064,FALSE,69,18
"Acanthistius sebastoides","Acanthistius sebastoides",2388078,FALSE,69,24
"Acanthistius serratus","Acanthistius serratus",2388068,FALSE,47,24
"Acanthochromis polyacanthus","Acanthochromis polyacanthus",5212126,FALSE,4150,296
"Acanthopagrus australis","Acanthopagrus australis",2392280,FALSE,22327,259
"Acanthopagrus latus","Acanthopagrus latus",2392281,FALSE,77,45
"Acanthostracion polygonium","Acanthostracion polygonium",2408186,FALSE,1,1
"Acanthostracion quadricornis","Acanthostracion quadricornis",2408197,FALSE,1497,418
"Acanthurus achilles","Acanthurus achilles",5209178,FALSE,1379,221
"Acanthurus albipectoralis","Acanthurus albipectoralis",5209262,FALSE,350,113
"Acanthurus auranticavus","Acanthurus auranticavus",5209158,FALSE,221,119
"Acanthurus bahianus","Acanthurus bahianus",5209181,FALSE,14441,485
"Acanthurus bariene","Acanthurus bariene",5209156,FALSE,55,37
"Acanthurus blochii","Acanthurus blochii",5209203,FALSE,3918,678
"Acanthurus chirurgus","Acanthurus chirurgus",5209174,FALSE,9091,391
"Acanthurus chronixis","Acanthurus chronixis",5209195,FALSE,1,1
"Acanthurus coeruleus","Acanthurus coeruleus",5209188,FALSE,16382,613
"Acanthurus dussumieri","Acanthurus dussumieri",5209167,FALSE,3233,607
"Acanthurus fowleri","Acanthurus fowleri",5209155,FALSE,50,33
"Acanthurus gahhm","Acanthurus gahhm",5209159,FALSE,46,29
"Acanthurus grammoptilus","Acanthurus grammoptilus",5209243,FALSE,1040,374
"Acanthurus guttatus","Acanthurus guttatus",5209152,FALSE,784,241
"Acanthurus leucocheilus","Acanthurus leucocheilus",5209259,FALSE,353,93
"Acanthurus leucopareius","Acanthurus leucopareius",5209183,FALSE,1701,238
"Acanthurus leucosternon","Acanthurus leucosternon",5209210,FALSE,483,208
"Acanthurus lineatus","Acanthurus lineatus",5209244,FALSE,4057,774
"Acanthurus maculiceps","Acanthurus maculiceps",5209257,FALSE,368,72
"Acanthurus mata","Acanthurus mata",5209204,FALSE,722,290
"Acanthurus nigricans","Acanthurus nigricans",5209162,FALSE,5565,697
"Acanthurus nigricauda","Acanthurus nigricauda",5209160,FALSE,2251,581
"Acanthurus nigrofuscus","Acanthurus nigrofuscus",5209227,FALSE,10457,921
"Acanthurus nigroris","Acanthurus nigroris",5209231,FALSE,2938,372
"Acanthurus nubilus","Acanthurus nubilus",5209251,FALSE,52,35
"Acanthurus olivaceus","Acanthurus olivaceus",5209196,FALSE,5490,741
"Acanthurus pyroferus","Acanthurus pyroferus",5209154,FALSE,2508,563
"Acanthurus reversus","Acanthurus reversus",5209157,FALSE,12,6
"Acanthurus sohal","Acanthurus sohal",5209184,FALSE,363,83
"Acanthurus tennentii","Acanthurus tennentii",5209206,FALSE,161,66
"Acanthurus thompsoni","Acanthurus thompsoni",5209215,FALSE,1951,444
"Acanthurus triostegus","Acanthurus triostegus",5209217,FALSE,5380,901
"Acanthurus tristis","Acanthurus tristis",5209238,FALSE,53,18
"Acanthurus xanthopterus","Acanthurus xanthopterus",5209252,FALSE,2259,650
"Achoerodus gouldii","Achoerodus gouldii",2383158,FALSE,1719,204
"Achoerodus viridis","Achoerodus viridis",2383154,FALSE,9299,191
"Aetapcus maculatus","Aetapcus maculatus",2337068,FALSE,83,49
"Aethaloperca rogaa","Aethaloperca rogaa",2388085,FALSE,532,231
"Afurcagobius tamarensis","Afurcagobius tamarensis",2378393,FALSE,593,108
"Aioliops brachypterus","Aioliops brachypterus",2385750,FALSE,1,1
"Aioliops novaeguineae","Aioliops novaeguineae",2385749,FALSE,9,8
"Albula glossodonta","Albula glossodonta",5204109,FALSE,14,13
"Alectis ciliaris","Alectis ciliaris",2390537,FALSE,542,321
"Alloclinus holderi","Alloclinus holderi",2389598,FALSE,78,25
"Allomycterus pilatus","Allomycterus pilatus",2406528,FALSE,3000,1152
"Alphestes immaculatus","Alphestes immaculatus",2387800,FALSE,160,79
"Altrichthys azurelineatus","Altrichthys azurelineatus",2398179,FALSE,11,7
"Altrichthys curatus","Altrichthys curatus",2398178,FALSE,1,1
"Aluterus scriptus","Aluterus scriptus",2406721,FALSE,2447,759
"Amanses scopas","Amanses scopas",2406900,FALSE,557,166
"Ambassis jacksoniensis","Ambassis jacksoniensis",2387315,FALSE,92,24
"Amblycirrhitus bimacula","Amblycirrhitus bimacula",2375106,FALSE,68,42
"Amblycirrhitus earnshawi","Amblycirrhitus earnshawi",2375110,FALSE,1,1
"Amblycirrhitus pinos","Amblycirrhitus pinos",2375113,FALSE,570,155
"Amblyeleotris fasciata","Amblyeleotris fasciata",2378840,FALSE,53,36
"Amblyeleotris guttata","Amblyeleotris guttata",2378829,FALSE,241,161
"Amblyeleotris gymnocephala","Amblyeleotris gymnocephala",2378826,FALSE,71,32
"Amblyeleotris japonica","Amblyeleotris japonica",2378820,FALSE,10,6
"Amblyeleotris periophthalma","Amblyeleotris periophthalma",2378802,FALSE,103,68
"Amblyeleotris steinitzi","Amblyeleotris steinitzi",2378812,FALSE,316,187
"Amblyeleotris sungami","Amblyeleotris sungami",2378847,FALSE,5,2
"Amblyeleotris wheeleri","Amblyeleotris wheeleri",2378853,FALSE,214,146
"Amblyglyphidodon aureus","Amblyglyphidodon aureus",2398497,FALSE,600,279
"Amblyglyphidodon batunaorum","Amblyglyphidodon batunaorum",11695307,FALSE,21,19
"Amblyglyphidodon curacao","Amblyglyphidodon curacao",2398488,FALSE,3691,441
"Amblyglyphidodon flavilatus","Amblyglyphidodon flavilatus",2398501,FALSE,71,39
"Amblyglyphidodon indicus","Amblyglyphidodon indicus",2398510,FALSE,264,92
"Amblyglyphidodon leucogaster","Amblyglyphidodon leucogaster",2398513,FALSE,1682,267
"Amblyglyphidodon melanopterus","Amblyglyphidodon melanopterus",2398502,FALSE,164,29
"Amblyglyphidodon orbicularis","Amblyglyphidodon orbicularis",2398511,FALSE,92,53
"Amblyglyphidodon ternatensis","Amblyglyphidodon ternatensis",2398503,FALSE,26,14
"Amblygobius buanensis","Amblygobius buanensis",2378302,FALSE,7,4
"Amblygobius bynoensis","Amblygobius bynoensis",2378311,FALSE,12,11
"Amblygobius decussatus","Amblygobius decussatus",2378282,FALSE,199,89
"Amblygobius nocturnus","Amblygobius nocturnus",2378279,FALSE,102,66
"Amblygobius phalaena","Amblygobius phalaena",2378306,FALSE,944,331
"Amblyrhynchote honckenii","Amblyrhynchote honckenii",9312668,FALSE,79,39
"Ammodytes tobianus","Ammodytes tobianus",2389991,FALSE,3086,794
"Amphichaetodon howensis","Amphichaetodon howensis",2385679,FALSE,116,33
"Amphichthys cryptocentrus","Amphichthys cryptocentrus",2350839,FALSE,16,8
"Amphiprion akallopisos","Amphiprion akallopisos",5212090,FALSE,209,92
"Amphiprion akindynos","Amphiprion akindynos",5212068,FALSE,1146,202
"Amphiprion allardi","Amphiprion allardi",5212110,FALSE,135,47
"Amphiprion bicinctus","Amphiprion bicinctus",5212077,FALSE,633,127
"Amphiprion chrysopterus","Amphiprion chrysopterus",5212076,FALSE,723,264
"Amphiprion clarkii","Amphiprion clarkii",5212081,FALSE,1516,590
"Amphiprion ephippium","Amphiprion ephippium",5212057,FALSE,38,18
"Amphiprion frenatus","Amphiprion frenatus",5212111,FALSE,276,122
"Amphiprion fuscocaudatus","Amphiprion fuscocaudatus",5212056,FALSE,10,9
"Amphiprion latezonatus","Amphiprion latezonatus",5212078,FALSE,101,19
"Amphiprion leucokranos","Amphiprion leucokranos",5212079,FALSE,20,16
"Amphiprion mccullochi","Amphiprion mccullochi",5212109,FALSE,170,7
"Amphiprion melanopus","Amphiprion melanopus",5212069,FALSE,929,268
"Amphiprion nigripes","Amphiprion nigripes",5212055,FALSE,142,67
"Amphiprion ocellaris","Amphiprion ocellaris",5212106,FALSE,877,304
"Amphiprion percula","Amphiprion percula",5212094,FALSE,272,145
"Amphiprion perideraion","Amphiprion perideraion",5212059,FALSE,817,348
"Amphiprion rubrocinctus","Amphiprion rubrocinctus",5212051,FALSE,56,23
"Amphiprion sandaracinos","Amphiprion sandaracinos",5212089,FALSE,186,108
"Anampses caeruleopunctatus","Anampses caeruleopunctatus",2383466,FALSE,1452,313
"Anampses cuvier","Anampses cuvier",2383461,FALSE,851,124
"Anampses elegans","Anampses elegans",2383486,FALSE,325,30
"Anampses femininus","Anampses femininus",2383485,FALSE,121,28
"Anampses geographicus","Anampses geographicus",2383474,FALSE,360,112
