"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_005"
"Abalistes stellatus","Abalistes stellatus",2407216,FALSE,4072,1998
"Abudefduf abdominalis","Abudefduf abdominalis",2398692,FALSE,776,215
"Abudefduf bengalensis","Abudefduf bengalensis",2398657,FALSE,1110,420
"Abudefduf concolor","Abudefduf concolor",2398689,FALSE,146,69
"Abudefduf conformis","Abudefduf conformis",2398622,FALSE,12,10
"Abudefduf notatus","Abudefduf notatus",2398703,FALSE,91,57
"Abudefduf saxatilis","Abudefduf saxatilis",2398623,FALSE,7356,1077
"Abudefduf septemfasciatus","Abudefduf septemfasciatus",2398628,FALSE,377,203
"Abudefduf sexfasciatus","Abudefduf sexfasciatus",2398669,FALSE,2146,833
"Abudefduf sordidus","Abudefduf sordidus",2398682,FALSE,1173,471
"Abudefduf sparoides","Abudefduf sparoides",2398625,FALSE,100,46
"Abudefduf troschelii","Abudefduf troschelii",2398672,FALSE,1128,378
"Abudefduf vaigiensis","Abudefduf vaigiensis",2398634,FALSE,2657,1182
"Abudefduf whitleyi","Abudefduf whitleyi",2398633,FALSE,358,112
"Acanthaluteres brownii","Acanthaluteres brownii",2406699,FALSE,246,98
"Acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus",2406696,FALSE,470,145
"Acanthaluteres vittiger","Acanthaluteres vittiger",2406702,FALSE,1691,441
"Acanthemblemaria atrata","Acanthemblemaria atrata",2381373,FALSE,8,7
"Acanthemblemaria castroi","Acanthemblemaria castroi",2381381,FALSE,12,12
"Acanthemblemaria crockeri","Acanthemblemaria crockeri",2381377,FALSE,23,20
"Acanthemblemaria hancocki","Acanthemblemaria hancocki",2381370,FALSE,35,26
"Acanthemblemaria spinosa","Acanthemblemaria spinosa",2381382,FALSE,231,108
"Acanthemblemaria stephensi","Acanthemblemaria stephensi",2381388,FALSE,1,1
"Acanthistius cinctus","Acanthistius cinctus",2388070,FALSE,137,33
"Acanthistius ocellatus","Acanthistius ocellatus",2388075,FALSE,792,167
"Acanthistius pardalotus","Acanthistius pardalotus",2388082,FALSE,10,6
"Acanthistius patachonicus","Acanthistius patachonicus",2388064,FALSE,69,22
"Acanthistius sebastoides","Acanthistius sebastoides",2388078,FALSE,69,28
"Acanthistius serratus","Acanthistius serratus",2388068,FALSE,47,27
"Acanthochromis polyacanthus","Acanthochromis polyacanthus",5212126,FALSE,4150,384
"Acanthopagrus australis","Acanthopagrus australis",2392280,FALSE,22327,394
"Acanthopagrus latus","Acanthopagrus latus",2392281,FALSE,77,60
"Acanthostracion polygonium","Acanthostracion polygonium",2408186,FALSE,1,1
"Acanthostracion quadricornis","Acanthostracion quadricornis",2408197,FALSE,1497,554
"Acanthurus achilles","Acanthurus achilles",5209178,FALSE,1379,315
"Acanthurus albipectoralis","Acanthurus albipectoralis",5209262,FALSE,350,139
"Acanthurus auranticavus","Acanthurus auranticavus",5209158,FALSE,221,139
"Acanthurus bahianus","Acanthurus bahianus",5209181,FALSE,14441,757
"Acanthurus bariene","Acanthurus bariene",5209156,FALSE,55,41
"Acanthurus blochii","Acanthurus blochii",5209203,FALSE,3918,1031
"Acanthurus chirurgus","Acanthurus chirurgus",5209174,FALSE,9091,611
"Acanthurus chronixis","Acanthurus chronixis",5209195,FALSE,1,1
"Acanthurus coeruleus","Acanthurus coeruleus",5209188,FALSE,16382,938
"Acanthurus dussumieri","Acanthurus dussumieri",5209167,FALSE,3233,844
"Acanthurus fowleri","Acanthurus fowleri",5209155,FALSE,50,39
"Acanthurus gahhm","Acanthurus gahhm",5209159,FALSE,46,33
"Acanthurus grammoptilus","Acanthurus grammoptilus",5209243,FALSE,1040,508
"Acanthurus guttatus","Acanthurus guttatus",5209152,FALSE,784,312
"Acanthurus leucocheilus","Acanthurus leucocheilus",5209259,FALSE,353,115
"Acanthurus leucopareius","Acanthurus leucopareius",5209183,FALSE,1701,394
"Acanthurus leucosternon","Acanthurus leucosternon",5209210,FALSE,483,255
"Acanthurus lineatus","Acanthurus lineatus",5209244,FALSE,4057,1035
"Acanthurus maculiceps","Acanthurus maculiceps",5209257,FALSE,368,97
"Acanthurus mata","Acanthurus mata",5209204,FALSE,722,348
"Acanthurus nigricans","Acanthurus nigricans",5209162,FALSE,5565,983
"Acanthurus nigricauda","Acanthurus nigricauda",5209160,FALSE,2251,801
"Acanthurus nigrofuscus","Acanthurus nigrofuscus",5209227,FALSE,10457,1444
"Acanthurus nigroris","Acanthurus nigroris",5209231,FALSE,2938,586
"Acanthurus nubilus","Acanthurus nubilus",5209251,FALSE,52,39
"Acanthurus olivaceus","Acanthurus olivaceus",5209196,FALSE,5490,1150
"Acanthurus pyroferus","Acanthurus pyroferus",5209154,FALSE,2508,754
"Acanthurus reversus","Acanthurus reversus",5209157,FALSE,12,6
"Acanthurus sohal","Acanthurus sohal",5209184,FALSE,363,110
"Acanthurus tennentii","Acanthurus tennentii",5209206,FALSE,161,78
"Acanthurus thompsoni","Acanthurus thompsoni",5209215,FALSE,1951,590
"Acanthurus triostegus","Acanthurus triostegus",5209217,FALSE,5380,1277
"Acanthurus tristis","Acanthurus tristis",5209238,FALSE,53,25
"Acanthurus xanthopterus","Acanthurus xanthopterus",5209252,FALSE,2259,803
"Achoerodus gouldii","Achoerodus gouldii",2383158,FALSE,1719,257
"Achoerodus viridis","Achoerodus viridis",2383154,FALSE,9299,268
"Aetapcus maculatus","Aetapcus maculatus",2337068,FALSE,83,54
"Aethaloperca rogaa","Aethaloperca rogaa",2388085,FALSE,532,281
